Time,Time Code,Country Name,Country Code,Rule of Law: Estimate [RL.EST],Rule of Law: Number of Sources [RL.NO.SRC],Rule of Law: Percentile Rank [RL.PER.RNK],"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval [RL.PER.RNK.LOWER]","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval [RL.PER.RNK.UPPER]",Rule of Law: Standard Error [RL.STD.ERR]
2008,YR2008,Ghana,GHA,-0.0680183842778206,16,53.3653831481934,46.6346168518066,58.1730766296387,0.139710605144501
2008,YR2008,Zambia,ZMB,-0.408000946044922,15,41.3461532592773,31.25,50.480770111084,0.147672414779663
2008,YR2008,Tunisia,TUN,0.0725157782435417,15,55.288459777832,50.480770111084,59.1346168518066,0.142623201012611
2008,YR2008,Lao PDR,LAO,-0.869225442409515,12,21.1538467407227,11.5384616851807,33.6538467407227,0.166354537010193
2008,YR2008,Singapore,SGP,1.60608744621277,12,91.3461532592773,89.4230804443359,96.6346130371094,0.156003668904305
2008,YR2008,Malaysia,MYS,0.344933062791824,15,60.0961532592773,58.1730766296387,67.3076934814453,0.141735479235649
2008,YR2008,Cambodia,KHM,-1.14830446243286,15,11.5384616851807,5.76923084259033,20.6730766296387,0.147676348686218
2009,YR2009,Algeria,DZA,-0.793536186218262,15,23.222749710083,15.6398105621338,35.0710906982422,0.139010950922966
2009,YR2009,Sierra Leone,SLE,-0.900948405265808,14,18.4834117889404,11.8483409881592,31.2796211242676,0.150781556963921
2009,YR2009,Morocco,MAR,-0.210023805499077,16,48.3412322998047,40.7582931518555,54.9763031005859,0.138317406177521
2009,YR2009,Ghana,GHA,-0.0420598052442074,17,54.028434753418,45.971565246582,60.1895751953125,0.136129602789879
2009,YR2009,Zambia,ZMB,-0.475537210702896,16,40.2843589782715,28.4360198974609,46.9194297790527,0.137824684381485
2009,YR2009,Tunisia,TUN,0.129552721977234,15,59.2417068481445,52.6066360473633,61.6113739013672,0.140096619725227
2009,YR2009,Lao PDR,LAO,-1.05346250534058,13,15.1658763885498,7.10900497436523,22.748815536499,0.153890043497086
2009,YR2009,Singapore,SGP,1.56600522994995,12,91.4691925048828,88.1516571044922,97.1563949584961,0.154102936387062
2009,YR2009,Malaysia,MYS,0.455968111753464,15,63.5071105957031,61.1374397277832,68.7203826904297,0.140914529561996
2009,YR2009,Cambodia,KHM,-1.11806333065033,15,13.7440757751465,4.26540279388428,20.8530807495117,0.146363377571106
2010,YR2010,Algeria,DZA,-0.784947514533997,15,26.5402851104736,15.6398105621338,34.1232223510742,0.136987701058388
2010,YR2010,Sierra Leone,SLE,-0.933641135692596,14,18.9573459625244,11.3744077682495,29.3838863372803,0.14827972650528
2010,YR2010,Morocco,MAR,-0.171845525503159,16,50.2369651794434,42.1800956726074,56.3981056213379,0.135978043079376
2010,YR2010,Ghana,GHA,-0.0280696488916874,17,54.502368927002,47.3933639526367,60.6635055541992,0.133984640240669
2010,YR2010,Zambia,ZMB,-0.490245282649994,16,36.9668235778809,28.9099521636963,46.445499420166,0.135217487812042
2010,YR2010,Tunisia,TUN,0.0617100223898888,15,57.3459701538086,50.7108993530273,62.0853080749512,0.137267276644707
2010,YR2010,Lao PDR,LAO,-0.979774296283722,13,16.5876770019531,9.00473976135254,27.962085723877,0.150014907121658
2010,YR2010,Singapore,SGP,1.62594163417816,12,91.9431304931641,88.1516571044922,98.1042633056641,0.154738515615463
2010,YR2010,Malaysia,MYS,0.478164613246918,16,64.9289093017578,61.6113739013672,69.1943130493164,0.137832179665565
2010,YR2010,Cambodia,KHM,-1.11850845813751,15,12.7962083816528,5.68720388412476,21.3270149230957,0.144172221422195
2011,YR2011,Algeria,DZA,-0.807665765285492,16,24.4131450653076,15.4929580688477,31.4553985595703,0.130975484848022
2011,YR2011,Sierra Leone,SLE,-0.854130923748016,15,22.5352115631104,14.0845069885254,30.9859161376953,0.14222440123558
2011,YR2011,Morocco,MAR,-0.22767673432827,17,48.8262901306152,41.7840385437012,53.9906120300293,0.130540356040001
2011,YR2011,Ghana,GHA,-0.00487885903567076,18,54.9295768737793,48.8262901306152,60.5633811950684,0.127386927604675
2011,YR2011,Zambia,ZMB,-0.456431657075882,16,40.8450698852539,30.046947479248,47.8873252868652,0.131419599056244
2011,YR2011,Tunisia,TUN,-0.132160767912865,16,50.7042236328125,44.6009407043457,57.7464790344238,0.131419599056244
2011,YR2011,Lao PDR,LAO,-1.00053369998932,13,16.4319248199463,9.85915470123291,26.2910804748535,0.143604964017868
2011,YR2011,Singapore,SGP,1.66999232769012,13,92.9577484130859,89.6713638305664,98.1220626831055,0.142427489161491
2011,YR2011,Malaysia,MYS,0.478686481714249,17,64.7887344360352,61.5023460388184,69.4835662841797,0.128391519188881
2011,YR2011,Cambodia,KHM,-1.04503977298737,15,15.023473739624,8.92018795013428,23.474178314209,0.136078029870987
2012,YR2012,Algeria,DZA,-0.772281110286713,16,26.7605628967285,16.4319248199463,35.2112693786621,0.135326161980629
2012,YR2012,Sierra Leone,SLE,-0.853567779064178,18,21.5962448120117,15.023473739624,32.3943672180176,0.130854725837708
2012,YR2012,Morocco,MAR,-0.209178164601326,18,48.8262901306152,42.2535209655762,55.3990592956543,0.130854725837708
2012,YR2012,Ghana,GHA,0.0104950042441487,18,55.8685455322266,49.2957763671875,59.6244125366211,0.130854725837708
2012,YR2012,Zambia,ZMB,-0.365195989608765,17,44.1314544677734,33.3333320617676,50.2347412109375,0.132057815790176
2012,YR2012,Tunisia,TUN,-0.12936507165432,16,51.1737098693848,45.0704231262207,57.7464790344238,0.135414630174637
2012,YR2012,Lao PDR,LAO,-0.851637721061707,13,22.0657272338867,13.6150236129761,32.3943672180176,0.149695426225662
2012,YR2012,Singapore,SGP,1.73118603229523,13,94.3661956787109,90.1408462524414,100,0.149784207344055
2012,YR2012,Malaysia,MYS,0.465032249689102,17,64.7887344360352,60.5633811950684,70.8920211791992,0.133131206035614
2012,YR2012,Cambodia,KHM,-0.979674339294434,15,16.9014091491699,9.38967132568359,27.2300472259521,0.140831798315048
2013,YR2013,Algeria,DZA,-0.68937361240387,16,30.9859161376953,19.2488269805908,40.3755874633789,0.133684277534485
2013,YR2013,Sierra Leone,SLE,-0.859033405780792,18,21.5962448120117,14.0845069885254,31.9248828887939,0.128346100449562
2013,YR2013,Morocco,MAR,-0.247949689626694,18,46.948356628418,41.3145523071289,53.521125793457,0.128346100449562
2013,YR2013,Ghana,GHA,0.149142131209373,18,58.2159614562988,52.582160949707,61.9718322753906,0.128346100449562
2013,YR2013,Zambia,ZMB,-0.267561674118042,18,46.478874206543,39.9061050415039,53.051643371582,0.128346100449562
2013,YR2013,Tunisia,TUN,-0.189248368144035,18,49.2957763671875,42.2535209655762,54.4600944519043,0.128346100449562
2013,YR2013,Lao PDR,LAO,-0.800276160240173,14,24.4131450653076,15.023473739624,34.7417831420898,0.146075412631035
2013,YR2013,Singapore,SGP,1.70552384853363,13,94.3661956787109,90.1408462524414,99.06103515625,0.149754792451859
2013,YR2013,Malaysia,MYS,0.435761153697968,16,63.8497657775879,59.6244125366211,70.8920211791992,0.134334176778793
2013,YR2013,Cambodia,KHM,-1.00411736965179,15,15.4929580688477,9.38967132568359,25.8215961456299,0.140490129590034
2014,YR2014,Algeria,DZA,-0.773167908191681,14,24.0384616851807,13.4615383148193,33.1730766296387,0.145413890480995
2014,YR2014,Sierra Leone,SLE,-0.921858549118042,16,17.3076915740967,9.13461494445801,27.4038467407227,0.13833449780941
2014,YR2014,Morocco,MAR,-0.0651446580886841,16,54.3269233703613,44.230770111084,62.980770111084,0.13833449780941
2014,YR2014,Ghana,GHA,0.052244994789362,16,60.0961532592773,49.519229888916,65.3846130371094,0.13833449780941
2014,YR2014,Zambia,ZMB,-0.236549019813538,16,47.1153831481934,37.5,56.730770111084,0.13833449780941
2014,YR2014,Tunisia,TUN,-0.109677270054817,16,52.8846168518066,43.269229888916,61.538459777832,0.13833449780941
2014,YR2014,Lao PDR,LAO,-0.751358985900879,12,25.480770111084,13.4615383148193,35.5769233703613,0.159064903855324
2014,YR2014,Singapore,SGP,1.82477498054504,12,93.2692337036133,88.9423065185547,99.038459777832,0.160684138536453
2014,YR2014,Malaysia,MYS,0.588295519351959,13,73.5576934814453,65.8653869628906,76.9230804443359,0.147148936986923
2014,YR2014,Cambodia,KHM,-0.955210149288177,13,15.865385055542,7.21153831481934,27.4038467407227,0.15204656124115
2015,YR2015,Algeria,DZA,-0.868520021438599,14,18.75,11.5384616851807,30.2884616851807,0.145505398511887
2015,YR2015,Sierra Leone,SLE,-0.853527307510376,16,20.1923084259033,12.0192308425903,30.769229888916,0.139540627598763
2015,YR2015,Morocco,MAR,-0.0889408364892006,15,54.8076934814453,44.711540222168,60.0961532592773,0.140270009636879
2015,YR2015,Ghana,GHA,0.142052844166756,16,60.5769233703613,54.8076934814453,65.3846130371094,0.139540627598763
2015,YR2015,Zambia,ZMB,-0.229724779725075,16,47.1153831481934,37.980770111084,56.730770111084,0.139540627598763
2015,YR2015,Tunisia,TUN,-0.0615544654428959,16,55.288459777832,45.6730766296387,61.538459777832,0.139540627598763
2015,YR2015,Lao PDR,LAO,-0.798730552196503,11,23.5576915740967,12.9807691574097,33.1730766296387,0.158836960792542
2015,YR2015,Singapore,SGP,1.81349194049835,12,94.2307662963867,89.4230804443359,100,0.156519249081612
2015,YR2015,Malaysia,MYS,0.501932203769684,14,68.75,63.9423065185547,75,0.143067881464958
2015,YR2015,Cambodia,KHM,-0.978473484516144,13,14.9038457870483,7.692307472229,26.9230766296387,0.152026548981667
